Date,Open,High,Low,Close,Adj Close,Volume
4/22/2016,"4,930.00","4,935.00","4,880.00","4,895.00","4,202.95",39.20
4/25/2016,"4,895.00","4,915.00","4,770.00","4,795.00","4,117.09",58.93
4/26/2016,"4,785.00","4,785.00","4,605.00","4,650.00","3,992.59",88.22
4/27/2016,"4,650.00","4,695.00","4,610.00","4,610.00","3,958.24",51.27
4/28/2016,"4,675.00","4,680.00","4,610.00","4,620.00","3,966.83",40.00
4/29/2016,"4,625.00","4,630.00","4,570.00","4,585.00","3,936.78",24.10
5/2/2016,"4,580.00","4,580.00","4,470.00","4,490.00","3,855.21",33.07
5/3/2016,"4,500.00","4,670.00","4,500.00","4,630.00","3,975.42",71.80
5/4/2016,"4,630.00","4,650.00","4,520.00","4,620.00","3,966.83",42.59
5/9/2016,"4,650.00","4,650.00","4,470.00","4,490.00","3,855.21",39.95
5/10/2016,"4,500.00","4,570.00","4,450.00","4,560.00","3,915.31",33.09
5/11/2016,"4,680.00","4,680.00","4,560.00","4,680.00","4,018.35",43.83
5/12/2016,"4,650.00","4,700.00","4,560.00","4,590.00","3,941.07",20.10
5/13/2016,"4,620.00","4,620.00","4,440.00","4,480.00","3,846.62",23.97
5/16/2016,"4,500.00","4,500.00","4,400.00","4,410.00","3,786.52",17.22
5/17/2016,"4,450.00","4,470.00","4,280.00","4,310.00","3,700.66",28.55
5/18/2016,"4,310.00","4,420.00","4,270.00","4,400.00","3,777.93",41.50
5/19/2016,"4,400.00","4,420.00","4,290.00","4,360.00","3,743.59",33.42
5/20/2016,"4,330.00","4,400.00","4,310.00","4,380.00","3,760.76",19.17
5/23/2016,"4,380.00","4,440.00","4,360.00","4,430.00","3,803.69",22.63
5/24/2016,"4,430.00","4,460.00","4,410.00","4,440.00","3,812.28",30.45
5/25/2016,"4,480.00","4,520.00","4,470.00","4,510.00","3,872.38",26.48
5/26/2016,"4,540.00","4,570.00","4,480.00","4,550.00","3,906.73",29.01
5/27/2016,"4,550.00","4,680.00","4,530.00","4,630.00","3,975.42",36.12
5/30/2016,"4,680.00","4,760.00","4,650.00","4,720.00","4,052.69",35.14
5/31/2016,"4,750.00","4,800.00","4,670.00","4,800.00","4,121.38",53.91
6/1/2016,"4,720.00","4,790.00","4,720.00","4,770.00","4,095.62",19.62
6/2/2016,"4,730.00","4,750.00","4,650.00","4,690.00","4,026.93",22.59
6/3/2016,"4,710.00","4,730.00","4,670.00","4,700.00","4,035.52",15.44
6/6/2016,"4,730.00","4,770.00","4,720.00","4,770.00","4,095.62",20.11
6/7/2016,"4,780.00","4,850.00","4,770.00","4,820.00","4,138.55",38.51
6/8/2016,"4,820.00","4,840.00","4,790.00","4,820.00","4,138.55",22.70
6/9/2016,"4,820.00","4,830.00","4,770.00","4,770.00","4,095.62",17.11
6/10/2016,"4,760.00","4,820.00","4,750.00","4,760.00","4,087.04",10.95
6/13/2016,"4,760.00","4,760.00","4,670.00","4,690.00","4,026.93",11.03
6/14/2016,"4,690.00","4,720.00","4,650.00","4,660.00","4,001.17",16.08
6/15/2016,"4,670.00","4,730.00","4,660.00","4,730.00","4,061.28",15.87
6/16/2016,"4,740.00","4,760.00","4,650.00","4,670.00","4,009.76",12.68
6/17/2016,"4,700.00","4,720.00","4,600.00","4,660.00","4,001.17",16.78
6/20/2016,"4,680.00","4,750.00","4,660.00","4,720.00","4,052.69",13.55
6/21/2016,"4,730.00","4,850.00","4,730.00","4,850.00","4,164.31",30.03
